ID;period_first_selected;selected_for_201804;size_band;size;newly_selected_month
369;201802;Y;6;05-Sep;Feb
370;201803;Y;1;0-4;Mar
371;201804;Y;1;0-4;Apr
372;201804;Y;1;0-4;Apr
373;201803;Y;1;0-4;Mar
374;201801;Y;1;0-4;Jan
375;201802;Y;6;05-Sep;Feb
376;201801;Y;6;05-Sep;Jan
377;201803;Y;1;0-4;Mar
378;201801;Y;1;0-4;Jan
379;201801;Y;6;05-Sep;Jan
380;201804;Y;1;0-4;Apr
381;201801;Y;6;05-Sep;Jan
382;201802;Y;1;0-4;Feb
383;201803;Y;1;0-4;Mar
384;201801;Y;6;05-Sep;Jan
385;201801;Y;6;05-Sep;Jan
386;201803;Y;6;05-Sep;Mar
387;201803;Y;1;0-4;Mar
388;201803;Y;1;0-4;Mar
389;201801;Y;1;0-4;Jan
390;201801;Y;6;05-Sep;Jan
391;201804;Y;6;05-Sep;Apr
392;201804;Y;6;05-Sep;Apr
393;201804;Y;6;05-Sep;Apr
394;201801;Y;1;0-4;Jan
395;201802;Y;1;0-4;Feb
396;201803;Y;1;0-4;Mar
397;201801;Y;1;0-4;Jan
398;201803;Y;7;Oct-19;Mar
399;201802;Y;1;0-4;Feb
400;201803;Y;6;05-Sep;Mar
401;201803;Y;6;05-Sep;Mar
402;201801;Y;6;05-Sep;Jan
403;201802;Y;1;0-4;Feb
404;201803;Y;1;0-4;Mar
405;201804;Y;1;0-4;Apr
406;201804;Y;6;05-Sep;Apr
407;201801;Y;6;05-Sep;Jan
408;201804;Y;1;0-4;Apr
409;201801;Y;1;0-4;Jan
410;201804;Y;7;Oct-19;Apr
411;201801;Y;6;05-Sep;Jan
412;201802;Y;1;0-4;Feb
413;201804;Y;1;0-4;Apr
414;201802;Y;1;0-4;Feb
415;201802;Y;1;0-4;Feb
416;201802;Y;7;Oct-19;Feb
417;201804;Y;1;0-4;Apr
418;201803;Y;6;05-Sep;Mar
419;201803;Y;6;05-Sep;Mar
420;201801;Y;6;05-Sep;Jan
